Amplitude (ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	1
25	2
26	3
27	3
28	4
29	4
30	4
31	4
32	5
33	7
34	6
35	7
36	7
37	7
38	5
39	5
40	4
41	5
42	4
43	6
44	6
45	7
46	6
47	6
48	5
49	5
50	5
51	5
52	6
53	5
54	5
55	5
56	5
57	5
58	5
59	7
60	6
61	7
62	7
63	7
64	5
65	5
66	4
67	3
68	3
69	4
70	5
71	5
72	5
73	5
74	5
75	3
76	4
77	4
78	4
79	4
80	5
81	4
82	4
83	5
84	5
85	6
86	7
87	6
88	6
89	5
90	4
91	5
92	5
93	4
94	5
95	5
96	5
97	5
98	5
99	5
100	7
101	7
102	7
103	7
104	7
105	5
106	5
107	6
108	5
109	5
110	6
111	6
112	4
113	5
114	4
115	6
116	6
117	7
118	7
119	8
120	6
121	6
122	6
123	5
124	4
125	4
126	4
127	3
128	4
129	4
130	4
131	5
132	6
133	8
134	7
135	8
136	8
137	7
138	6
139	7
140	7
141	6
142	6
143	7
144	7
145	6
146	6
147	7
148	7
149	7
150	8
151	8
152	7
153	7
154	6
155	5
156	6
157	6
158	5
159	6
160	7
161	6
162	6
163	7
164	6
165	6
166	6
167	6
168	5
169	5
170	5
171	5
172	4
173	4
174	4
175	4
176	4
177	5
178	5
179	5
180	5
181	5
182	4
183	4
184	5
185	6
186	6
187	7
188	6
189	6
190	5
191	4
192	4
193	5
194	5
195	6
196	7
197	8
198	6
199	5
200	5
201	4
202	3
203	3
204	5
205	5
206	5
207	5
208	5
209	4
210	5
211	5
212	5
213	6
214	6
215	6
216	6
217	5
218	6
219	6
220	6
221	6
222	6
223	5
224	5
225	5
226	6
227	7
228	7
229	7
230	7
231	6
232	6
233	6
234	6
235	6
236	6
237	5
238	4
239	4
240	3
241	3
242	2
243	4
244	5
245	5
246	5
247	6
248	5
249	6
250	5
251	6
252	6
253	6
254	5
255	6
256	5
257	4
258	4
259	6
260	6
261	7
262	8
263	8
264	6
265	6
266	6
267	6
268	6
269	7
270	6
271	6
272	5
273	4
274	5
275	6
276	6
277	6
278	6
279	5
280	4
281	5
282	6
283	5
284	6
285	6
286	6
287	5
288	5
289	5
290	5
291	5
292	5
293	5
294	5
295	5
296	5
297	5
298	5
299	6
300	5
301	5
302	7
303	7
304	6
305	6
306	6
307	5
308	5
309	6
310	7
311	6
312	6
313	7
314	6
315	7
316	6
317	6
318	5
319	6
320	4
321	5
322	5
323	5
324	5
325	6
326	6
327	6
328	6
329	7
330	7
331	7
332	7
333	6
334	4
335	4
336	4
337	5
338	6
339	7
340	8
341	8
342	7
343	6
344	5
345	5
346	5
347	5
348	6
349	7
350	6
351	5
352	5
353	3
354	3
355	4
356	5
357	5
358	6
359	6
360	6
361	5
362	5
363	5
364	6
365	6
366	5
367	5
368	5
369	6
370	6
371	6
372	6
373	7
374	6
375	5
376	5
377	5
378	5
379	5
380	5
381	6
382	6
383	5
384	4
385	3
386	3
387	5
388	5
389	6
390	7
391	6
392	5
393	6
394	5
395	7
396	8
397	8
398	7
399	7
400	5
401	4
402	4
403	5
404	5
405	6
406	7
407	7
408	6
409	7
410	6
411	6
412	6
413	6
414	5
415	5
416	5
417	4
418	5
419	7
420	7
421	7
422	7
423	6
424	5
425	4
426	4
427	5
428	5
429	6
430	5
431	5
432	4
433	5
434	6
435	7
436	8
437	7
438	6
439	7
440	7
441	6
442	6
443	6
444	5
445	4
446	4
447	4
448	5
449	5
450	6
451	8
452	8
453	7
454	6
455	5
456	4
457	4
458	6
459	7
460	7
461	7
462	6
463	5
464	4
465	4
466	5
467	5
468	5
469	7
470	6
471	6
472	6
473	7
474	7
475	7
476	8
477	7
478	6
479	5
480	6
481	5
482	6
483	6
484	6
485	5
486	5
487	3
488	3
489	4
490	5
491	6
492	7
493	7
494	7
495	7
496	5
497	5
498	7
499	7
500	9
501	9
502	9
503	7
504	7
505	5
506	5
507	6
508	7
509	6
510	6
511	5
512	4
513	3
514	5
515	6
516	7
517	8
518	9
519	9
520	9
521	10
522	8
523	8
524	7
