Amplitude (ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	1
40	0
41	1
42	2
43	3
44	4
45	5
46	7
47	10
48	14
49	19
50	28
51	42
52	58
53	83
54	115
55	160
56	201
57	254
58	306
59	361
60	413
61	459
62	509
63	558
64	572
65	570
66	573
67	553
68	529
69	528
70	538
71	544
72	575
73	608
74	630
75	644
76	654
77	637
78	599
79	584
80	567
81	543
82	526
83	518
84	498
85	478
86	484
87	485
88	493
89	504
90	513
91	513
92	514
93	519
94	511
95	508
96	504
97	505
98	500
99	494
100	489
101	484
102	474
103	464
104	476
105	495
106	504
107	527
108	547
109	559
110	550
111	554
112	555
113	560
114	558
115	575
116	577
117	577
118	573
119	573
120	560
121	560
122	561
123	555
124	554
125	556
126	555
127	563
128	570
129	575
130	574
131	568
132	542
133	536
134	541
135	536
136	543
137	548
138	557
139	559
140	583
141	597
142	638
143	690
144	732
145	773
146	820
147	844
148	840
149	863
150	875
151	877
152	883
153	910
154	902
155	898
156	885
157	869
158	835
159	815
160	806
161	815
162	823
163	826
164	824
165	814
166	796
167	776
168	766
169	753
170	740
171	724
172	712
173	689
174	689
175	687
176	699
177	716
178	735
179	730
180	735
181	728
182	716
183	717
184	724
185	721
186	706
187	706
188	698
189	686
190	671
191	677
192	659
193	646
194	632
195	630
196	620
197	634
198	635
199	637
200	639
201	635
202	619
203	612
204	605
205	585
206	561
207	550
208	539
209	535
210	552
211	564
212	583
213	590
214	585
215	588
216	605
217	608
218	623
219	635
220	630
221	618
222	605
223	592
224	591
225	584
226	580
227	573
228	565
229	552
230	554
231	555
232	548
233	550
234	550
235	538
236	530
237	537
238	540
239	542
240	538
241	530
242	516
243	500
244	492
245	500
246	502
247	508
248	503
249	511
250	496
251	494
252	502
253	519
254	516
255	525
256	521
257	511
258	500
259	501
260	502
261	501
262	498
263	491
264	482
265	472
266	464
267	463
268	457
269	455
270	451
271	458
272	451
273	445
274	427
275	416
276	394
277	387
278	394
279	414
280	429
281	450
282	459
283	459
284	462
285	477
286	485
287	499
288	512
289	516
290	524
291	523
292	521
293	522
294	526
295	520
296	525
297	536
298	547
299	556
300	560
301	560
302	557
303	551
304	531
305	523
306	523
307	512
308	506
309	514
310	509
311	503
312	509
313	510
314	514
315	505
316	495
317	492
318	484
319	472
320	494
321	503
322	509
323	517
324	526
325	512
326	514
327	514
328	511
329	507
330	503
331	496
332	487
333	480
334	470
335	466
336	454
337	442
338	433
339	425
340	413
341	412
342	401
343	394
344	385
345	377
346	359
347	349
348	340
349	323
350	312
351	299
352	293
353	287
354	284
355	281
356	277
357	270
358	259
359	246
360	238
361	232
362	222
363	217
364	213
365	205
366	202
367	196
368	186
369	176
370	170
371	158
372	149
373	144
374	143
375	134
376	134
377	133
378	131
379	127
380	126
381	122
382	118
383	111
384	108
385	107
386	105
387	101
388	99
389	97
390	95
391	96
392	93
393	92
394	91
395	88
396	83
397	84
398	82
399	80
400	80
401	81
402	79
403	81
404	80
405	78
406	75
407	72
408	66
409	64
410	63
411	58
412	61
413	64
414	62
415	60
416	63
417	59
418	55
419	57
420	56
421	55
422	55
423	58
424	57
425	59
426	63
427	66
428	64
429	64
430	65
431	64
432	68
433	73
434	74
435	78
436	85
437	90
438	98
439	107
440	116
441	123
442	128
443	132
444	142
445	154
446	167
447	182
448	198
449	218
450	235
451	257
452	281
453	310
454	334
455	362
456	392
457	422
458	454
459	503
460	551
461	596
462	647
463	715
464	768
465	838
466	904
467	971
468	1041
469	1097
470	1156
471	1222
472	1291
473	1353
474	1438
475	1504
476	1579
477	1655
478	1723
479	1761
480	1820
481	1851
482	1877
483	1910
484	1951
485	1961
486	1998
487	2034
488	2051
489	2059
490	2096
491	2117
492	2124
493	2130
494	2140
495	2129
496	2101
497	2088
498	2054
499	2043
500	2007
501	1974
502	1931
503	1901
504	1824
505	1765
506	1692
507	1627
508	1556
509	1524
510	1458
511	1405
512	1339
513	1270
