Amplitude (ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	2
49	2
50	4
51	6
52	7
53	10
54	14
55	20
56	25
57	33
58	40
59	47
60	52
61	54
62	55
63	56
64	57
65	58
66	60
67	62
68	59
69	57
70	58
71	62
72	63
73	68
74	74
75	72
76	70
77	69
78	67
79	64
80	65
81	62
82	62
83	59
84	54
85	52
86	54
87	54
88	55
89	60
90	58
91	57
92	56
93	61
94	59
95	62
96	61
97	61
98	57
99	58
100	58
101	56
102	53
103	53
104	51
105	51
106	53
107	60
108	60
109	62
110	59
111	60
112	54
113	56
114	55
115	54
116	53
117	54
118	52
119	51
120	53
121	54
122	54
123	54
124	51
125	51
126	50
127	52
128	53
129	56
130	57
131	55
132	52
133	47
134	44
135	40
136	39
137	40
138	42
139	45
140	47
141	48
142	50
143	52
144	54
145	56
146	62
147	63
148	67
149	70
150	73
151	75
152	79
153	79
154	78
155	77
156	75
157	69
158	65
159	64
160	67
161	68
162	71
163	76
164	77
165	75
166	73
167	73
168	68
169	68
170	69
171	71
172	68
173	68
174	69
175	68
176	70
177	75
178	75
179	76
180	83
181	81
182	76
183	80
184	79
185	72
186	70
187	70
188	69
189	67
190	65
191	65
192	64
193	60
194	58
195	61
196	59
197	60
198	61
199	64
200	63
201	66
202	67
203	65
204	63
205	62
206	58
207	55
208	56
209	53
210	53
211	53
212	56
213	54
214	57
215	58
216	63
217	64
218	65
219	65
220	62
221	60
222	59
223	58
224	59
225	60
226	57
227	56
228	56
229	55
230	56
231	58
232	57
233	54
234	52
235	51
236	51
237	49
238	48
239	47
240	47
241	45
242	46
243	45
244	47
245	45
246	47
247	50
248	53
249	50
250	51
251	49
252	47
253	47
254	49
255	49
256	52
257	53
258	53
259	51
260	51
261	49
262	49
263	48
264	48
265	51
266	49
267	49
268	48
269	47
270	42
271	42
272	40
273	40
274	39
275	40
276	40
277	40
278	42
279	43
280	43
281	44
282	46
283	44
284	45
285	47
286	48
287	46
288	48
289	49
290	48
291	48
292	49
293	48
294	48
295	49
296	49
297	47
298	45
299	45
300	46
301	46
302	49
303	52
304	47
305	45
306	44
307	40
308	40
309	43
310	43
311	41
312	42
313	41
314	42
315	44
316	44
317	41
318	41
319	41
320	41
321	43
322	47
323	48
324	49
325	50
326	48
327	48
328	49
329	49
330	45
331	47
332	47
333	45
334	42
335	43
336	40
337	38
338	39
339	40
340	38
341	38
342	40
343	38
344	38
345	38
346	37
347	35
348	34
349	35
350	37
351	37
352	37
353	37
354	37
355	36
356	38
357	40
358	42
359	42
360	44
361	44
362	42
363	40
364	40
365	38
366	40
367	42
368	44
369	44
370	43
371	43
372	44
373	44
374	41
375	45
376	43
377	42
378	38
379	39
380	36
381	37
382	38
383	41
384	43
385	43
386	42
387	42
388	42
389	42
390	43
391	44
392	44
393	43
394	42
395	44
396	46
397	44
398	48
399	49
400	47
401	43
402	45
403	41
404	44
405	42
406	45
407	43
408	44
409	38
410	39
411	36
412	38
413	40
414	42
415	41
416	43
417	42
418	40
419	40
420	44
421	44
422	44
423	46
424	44
425	41
426	44
427	46
428	47
429	49
430	53
431	54
432	53
433	53
434	54
435	57
436	55
437	55
438	55
439	54
440	50
441	50
442	51
443	49
444	51
445	49
446	48
447	47
448	46
449	43
450	41
451	40
452	38
453	39
454	39
455	38
456	39
457	39
458	38
459	36
460	36
461	34
462	32
463	32
464	33
465	34
466	33
467	34
468	32
469	32
470	29
471	30
472	27
473	26
474	26
475	25
476	24
477	25
478	25
479	23
480	23
481	21
482	20
483	18
484	16
485	15
486	14
487	12
488	11
489	13
490	15
491	14
492	15
493	15
494	16
495	14
496	13
497	13
498	14
499	12
500	11
501	13
502	13
503	13
504	12
505	12
506	12
507	11
508	9
509	10
510	9
511	9
512	9
513	10
514	9
515	11
516	10
517	9
518	9
519	9
520	7
521	8
522	7
523	7
524	7
