Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	2
30	2
31	3
32	3
33	3
34	15
35	99
36	241
37	396
38	556
39	707
40	772
41	755
42	738
43	715
44	700
45	711
46	747
47	761
48	768
49	755
50	740
51	752
52	784
53	863
54	969
55	1084
56	1185
57	1292
58	1369
59	1447
60	1556
61	1694
62	1801
63	1899
64	1938
65	1889
66	1813
67	1796
68	1740
69	1721
70	1752
71	1787
72	1796
73	1841
74	1898
75	1920
76	1921
77	1885
78	1797
79	1703
80	1632
81	1532
82	1433
83	1377
84	1308
85	1232
86	1182
87	1164
88	1157
89	1146
90	1147
91	1157
92	1154
93	1158
94	1170
95	1160
96	1126
97	1091
98	1050
99	1023
100	1015
101	1003
102	979
103	966
104	965
105	955
106	964
107	995
108	1031
109	1056
110	1075
111	1110
112	1127
113	1120
114	1091
115	1086
116	1064
117	1036
118	1016
119	996
120	965
121	949
122	943
123	941
124	954
125	972
126	984
127	997
128	1008
129	1010
130	1006
131	972
132	925
133	881
134	856
135	826
136	803
137	793
138	783
139	771
140	779
141	805
142	848
143	899
144	945
145	959
146	955
147	948
148	950
149	942
150	963
151	984
152	998
153	972
154	946
155	913
156	895
157	868
158	856
159	835
160	825
161	813
162	815
163	814
164	840
165	841
166	838
167	810
168	797
169	764
170	758
171	744
172	745
173	734
174	733
175	720
176	719
177	731
178	750
179	765
180	776
181	773
182	767
183	750
184	749
185	739
186	747
187	749
188	751
189	733
190	718
191	704
192	686
193	667
194	656
195	655
196	646
197	644
198	653
199	660
200	659
201	665
202	665
203	649
204	630
205	598
206	566
207	536
208	525
209	526
210	541
211	572
212	587
213	593
214	589
215	597
216	590
217	595
218	608
219	615
220	618
221	615
222	604
223	581
224	574
225	572
226	568
227	557
228	562
229	548
230	530
231	512
232	518
233	509
234	512
235	503
236	499
237	507
238	509
239	503
240	501
241	492
242	473
243	472
244	465
245	467
246	477
247	478
248	463
249	460
250	454
251	448
252	451
253	458
254	461
255	465
256	468
257	461
258	460
259	462
260	456
261	451
262	444
263	438
264	434
265	429
266	426
267	425
268	421
269	416
270	404
271	394
272	389
273	381
274	365
275	360
276	355
277	346
278	348
279	357
280	372
281	378
282	380
283	379
284	378
285	372
286	370
287	378
288	376
289	382
290	381
291	385
292	387
293	386
294	377
295	386
296	390
297	388
298	393
299	393
300	384
301	387
302	386
303	376
304	374
305	379
306	358
307	354
308	346
309	337
310	323
311	327
312	320
313	330
314	330
315	331
316	325
317	324
318	311
319	319
320	317
321	316
322	313
323	315
324	306
325	303
326	303
327	306
328	305
329	311
330	311
331	298
332	294
333	302
334	294
335	291
336	298
337	291
338	287
339	290
340	300
341	293
342	298
343	289
344	282
345	273
346	277
347	275
348	277
349	272
350	275
351	268
352	267
353	265
354	269
355	275
356	285
357	292
358	290
359	296
360	289
361	289
362	288
363	285
364	285
365	293
366	292
367	296
368	301
369	292
370	283
371	289
372	289
373	302
374	313
375	317
376	309
377	308
378	305
379	308
380	315
381	313
382	310
383	303
384	300
385	289
386	298
387	292
388	299
389	296
390	304
391	306
392	318
393	324
394	332
395	330
396	327
397	318
398	309
399	308
400	310
401	303
402	296
403	293
404	289
405	286
406	284
407	287
408	287
409	286
410	279
411	280
412	273
413	264
414	252
415	243
416	235
417	234
418	234
419	242
420	245
421	246
422	244
423	240
424	235
425	237
426	233
427	234
428	240
429	239
430	233
431	233
432	233
433	232
434	236
435	240
436	250
437	252
438	250
439	241
440	245
441	242
442	245
443	244
444	248
445	242
446	241
447	238
448	238
449	237
450	237
451	228
452	229
453	225
454	223
455	225
456	224
457	221
458	221
459	217
460	213
461	216
462	212
463	214
464	213
465	217
466	217
467	216
468	212
469	214
470	205
471	203
472	202
473	201
474	197
475	201
476	199
477	198
478	193
479	191
480	190
481	192
482	190
483	193
484	191
485	187
486	184
487	181
488	176
489	180
490	174
491	175
492	174
493	181
494	183
495	186
496	189
497	187
498	180
499	175
500	177
501	172
502	171
503	180
504	180
505	180
506	182
507	189
508	180
509	182
