Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	2
24	3
25	5
26	7
27	8
28	9
29	9
30	10
31	12
32	12
33	12
34	13
35	13
36	12
37	13
38	13
39	12
40	11
41	10
42	9
43	8
44	8
45	8
46	9
47	9
48	10
49	12
50	13
51	14
52	13
53	14
54	13
55	13
56	12
57	13
58	13
59	15
60	16
61	17
62	17
63	15
64	13
65	12
66	11
67	12
68	12
69	12
70	12
71	12
72	11
73	12
74	11
75	12
76	11
77	11
78	10
79	10
80	11
81	11
82	10
83	10
84	12
85	11
86	11
87	12
88	13
89	12
90	10
91	10
92	10
93	9
94	9
95	10
96	11
97	12
98	12
99	12
100	13
101	13
102	12
103	11
104	11
105	11
106	9
107	11
108	12
109	12
110	11
111	12
112	11
113	10
114	10
115	12
116	10
117	11
118	9
119	11
120	11
121	11
122	10
123	11
124	11
125	11
126	11
127	11
128	10
129	9
130	8
131	10
132	10
133	11
134	11
135	12
136	14
137	15
138	14
139	14
140	14
141	13
142	13
143	13
144	12
145	11
146	9
147	10
148	10
149	11
150	12
151	13
152	13
153	13
154	13
155	12
156	13
157	11
158	10
159	9
160	9
161	8
162	8
163	10
164	10
165	11
166	10
167	11
168	10
169	10
170	10
171	12
172	12
173	12
174	12
175	10
176	9
177	10
178	11
179	13
180	13
181	13
182	12
183	10
184	11
185	11
186	12
187	12
188	13
189	13
190	12
191	10
192	10
193	9
194	8
195	10
196	11
197	10
198	10
199	10
200	8
201	9
202	11
203	12
204	13
205	11
206	12
207	9
208	10
209	10
210	11
211	12
212	13
213	11
214	12
215	12
216	11
217	12
218	13
219	13
220	13
221	13
222	13
223	12
224	10
225	10
226	10
227	10
228	10
229	11
230	12
231	11
232	12
233	11
234	12
235	13
236	12
237	12
238	12
239	11
240	11
241	11
242	10
243	12
244	12
245	12
246	13
247	12
248	11
249	11
250	10
251	9
252	10
253	11
254	11
255	11
256	11
257	10
258	9
259	11
260	14
261	14
262	15
263	14
264	12
265	11
266	12
267	12
268	12
269	12
270	12
271	10
272	9
273	9
274	11
275	10
276	12
277	11
278	12
279	10
280	11
281	10
282	10
283	11
284	11
285	11
286	10
287	10
288	9
289	9
290	10
291	11
292	11
293	13
294	13
295	12
296	13
297	13
298	12
299	12
300	12
301	11
302	11
303	10
304	9
305	8
306	8
307	9
308	10
309	13
310	13
311	12
312	13
313	12
314	11
315	12
316	11
317	9
318	9
319	9
320	9
321	9
322	11
323	12
324	12
325	10
326	10
327	8
328	7
329	8
330	9
331	9
332	11
333	11
334	10
335	10
336	10
337	10
338	11
339	13
340	13
341	13
342	13
343	12
344	11
345	11
346	11
347	12
348	12
349	12
350	12
351	12
352	11
353	11
354	12
355	12
356	13
357	13
358	12
359	13
360	11
361	12
362	14
363	15
364	13
365	12
366	11
367	9
368	8
369	10
370	11
371	13
372	14
373	15
374	12
375	12
376	10
377	9
378	9
379	12
380	12
381	13
382	12
383	11
384	10
385	8
386	8
387	10
388	12
389	12
390	13
391	13
392	13
393	13
394	13
395	14
396	13
397	13
398	12
399	11
400	11
401	11
402	12
403	12
404	13
405	12
406	10
407	9
408	9
409	9
410	9
411	11
412	11
413	11
414	10
415	9
416	8
417	7
418	9
419	10
420	11
421	11
422	12
423	11
424	9
425	9
426	10
427	11
428	12
429	12
430	12
431	11
432	12
433	12
434	12
435	11
436	13
437	10
438	11
439	12
440	12
441	12
442	13
443	13
444	12
445	14
446	14
447	12
448	10
449	11
450	10
451	11
452	12
453	13
454	13
455	13
456	11
457	12
458	12
459	12
460	13
461	13
462	12
463	11
464	10
465	10
466	10
467	9
468	9
469	11
470	10
471	11
472	11
473	13
474	13
475	13
476	13
477	14
478	11
479	10
480	11
481	10
482	11
483	12
484	13
485	11
486	13
487	13
488	16
489	14
490	15
491	12
492	12
493	10
494	9
495	8
496	9
497	10
498	10
499	10
500	11
501	11
502	11
503	10
504	11
505	10
506	13
507	14
508	14
509	15
510	13
511	10
512	7
513	7
514	8
515	11
516	13
517	16
518	17
519	16
520	16
521	17
522	18
523	19
524	19
